ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
233 204 974 3 4 2 -180 -452 -2229 
227 199 980 -3 1 0 -180 -434 -2216 
231 199 980 -2 -3 -1 -180 -446 -2222 
227 198 979 -1 -2 -2 -180 -440 -2216 
227 199 966 1 -2 -2 -186 -434 -2222 
243 211 967 3 2 -2 -180 -452 -2235 
234 199 987 3 4 -2 -180 -440 -2217 
236 201 977 2 1 -1 -186 -452 -2235 
249 207 983 -1 1 0 -180 -452 -2209 
239 200 981 -1 4 -2 -174 -440 -2215 
247 205 979 1 2 -2 -168 -434 -2202 
229 188 987 -2 0 -4 -157 -446 -2202 
220 184 989 2 5 -3 -162 -452 -2228 
212 183 973 0 1 -3 -174 -440 -2228 
217 189 966 0 1 -3 -168 -446 -2228 
218 190 976 0 3 -2 -174 -434 -2222 
223 188 983 0 2 0 -162 -440 -2222 
232 193 986 1 1 2 -180 -440 -2209 
231 191 1001 -1 0 3 -174 -423 -2229 
245 204 985 2 1 3 -168 -446 -2228 
241 203 984 1 -3 2 -174 -429 -2229 
234 190 986 0 -4 0 -180 -440 -2222 
229 189 979 1 -5 1 -191 -434 -2202 
233 198 967 1 -4 -1 -186 -440 -2222 
231 193 970 -2 -3 -2 -174 -446 -2229 
226 192 989 1 0 -2 -162 -452 -2216 
227 195 993 2 0 -2 -180 -440 -2196 
231 196 989 0 -1 -2 -168 -446 -2202 
227 198 981 2 1 -2 -180 -434 -2209 
230 204 980 1 -3 -1 -191 -429 -2222 
232 200 983 0 -5 -1 -174 -429 -2222 
232 205 971 3 0 0 -168 -440 -2235 
230 210 973 -1 -1 -1 -197 -440 -2196 
227 202 983 -1 -3 -2 -174 -434 -2203 
225 188 993 2 -1 -2 -174 -446 -2222 
225 195 971 0 1 -1 -174 -429 -2222 
233 205 967 -1 -1 1 -180 -429 -2216 
236 203 979 -1 2 0 -180 -434 -2229 
228 196 990 -1 2 -1 -168 -446 -2216 
232 198 970 -1 -1 -1 -162 -446 -2216 
235 198 978 -2 -2 0 -162 -446 -2209 
225 195 986 0 2 -1 -174 -429 -2228 
228 205 979 1 0 0 -186 -440 -2222 
226 202 982 -1 -2 -1 -180 -440 -2196 
224 199 980 2 4 -2 -168 -429 -2216 
230 199 980 4 2 1 -162 -429 -2223 
234 195 995 -2 -3 1 -162 -446 -2222 
238 201 992 2 1 1 -168 -434 -2229 
234 202 974 3 1 1 -162 -429 -2210 
232 193 972 -3 -3 -1 -168 -446 -2223 
228 194 980 1 1 -1 -162 -434 -2216 
224 191 975 2 1 -1 -186 -429 -2222 
225 193 981 -1 0 -1 -180 -440 -2229 
236 197 990 0 2 0 -174 -440 -2216 
240 203 983 -1 1 0 -180 -429 -2216 
236 202 982 -1 1 1 -168 -434 -2209 
236 191 989 -2 2 0 -168 -440 -2209 
231 190 986 0 -1 0 -162 -440 -2196 
242 189 971 1 2 0 -174 -440 -2196 
228 185 979 1 2 -1 -168 -434 -2223 
232 188 984 0 1 -1 -168 -429 -2216 
232 195 968 2 1 0 -174 -434 -2216 
233 190 988 2 1 1 -168 -440 -2203 
228 196 984 2 2 1 -162 -440 -2217 
232 195 987 1 0 1 -162 -434 -2210 
233 190 984 0 -1 1 -151 -440 -2229 
232 189 995 1 -1 0 -168 -429 -2204 
234 193 979 0 0 0 -174 -440 -2217 
232 187 977 0 -1 -1 -168 -429 -2223 
232 192 981 -1 -1 -1 -180 -452 -2203 
235 200 979 -2 0 -1 -157 -429 -2203 
263 213 948 -3 3 -1 -162 -423 -2210 
357 257 954 -4 5 -5 -157 -423 -2210 
368 248 903 -4 14 -20 -157 -429 -2216 
353 230 826 -13 32 -44 -168 -423 -2190 
263 154 921 -8 89 -66 -145 -411 -2184 
178 75 946 20 155 -80 -128 -411 -2152 
39 -44 1075 60 206 -75 -93 -365 -2133 
-11 -139 1114 42 210 -57 -41 -348 -2094 
-53 -192 1149 -27 160 -25 -18 -348 -2068 
-9 -263 1127 -106 75 17 11 -353 -2043 
-9 -312 1191 -288 -87 62 5 -382 -2030 
363 -178 841 -547 -380 153 -47 -504 -2056 
904 131 386 -859 -728 216 -134 -666 -2165 
776 53 335 -1088 -891 137 -215 -828 -2442 
